"","cheese","url","milk","country","region","family","type","fat_content","calcium_content","texture","rind","color","flavor","aroma","vegetarian","vegan","synonyms","alt_spellings","producers"
"566","L'Étivaz","https://www.cheese.com/letivaz/","cow","Switzerland",NA,NA,"hard",NA,NA,"buttery",NA,"pale yellow",NA,"smokey",NA,NA,"L’Etivaz AOP, LEtivaz",NA,NA
"567","L'Étoile de St-Raymond","https://www.cheese.com/letoile-de-st-raymond/","","Canada","Quebec",NA,"soft","35%",NA,"buttery, creamy","ash coated","ivory","buttery, grassy, milky","mushroom",NA,NA,NA,"L’Étoile De Saint-Raymond","La Maison Alexis de Portneuf Inc."
"568","La Bonaparte","https://www.cheese.com/la-bonaparte/","cow","Canada","Quebec","Brie","soft, soft-ripened","28%",NA,"creamy, soft, soft-ripened, supple","bloomy","cream","creamy, mild, milky","fresh, mild",NA,NA,NA,NA,"La Maison Alexis de Portneuf Inc."
"569","La Casatella","https://www.cheese.com/la-casatella/","cow","Italy","Veneto",NA,"fresh soft, artisan",NA,NA,"compact, soft","natural","white","subtle, sweet","lactic",FALSE,FALSE,NA,NA,"La Casearia Carpenedo S.r.l."
"570","La Couronne - Fort Aged Comté","https://www.cheese.com/la-couronne-fort-aged-comte/","cow","France, Switzerland","Franche Comté",NA,"semi-hard",NA,NA,"dense",NA,"pale yellow","caramel, nutty, sweet","rich",NA,NA,NA,NA,"Cheese Slices"
"571","La Fleurie","https://www.cheese.com/la-fleurie/","cow","United States","Vermont",NA,"soft, artisan, soft-ripened",NA,NA,"buttery, runny, smooth","mold ripened","ivory","buttery, earthy, mushroomy, nutty","earthy, mild",TRUE,FALSE,NA,NA,"Willow Hill Farm"
"572","La Peral","https://www.cheese.com/la-peral/","cow","Spain",NA,"Blue","semi-soft, blue-veined",NA,NA,"creamy, firm, grainy",NA,"pale yellow","spicy, sweet","buttery, rich",FALSE,FALSE,"La Peral Blue",NA,NA
"573","La Pyramide","https://www.cheese.com/la-pyramide/","goat","Canada","British Columbia",NA,"semi-soft, artisan",NA,NA,"dense","ash coated","ivory","salty, tangy","mild",FALSE,FALSE,NA,NA,"The Farm House Natural Cheeses"
"574","La Retorta","https://www.cheese.com/la-retorta/","sheep","Spain",NA,NA,"soft, semi-soft",NA,NA,"creamy, runny",NA,"pale yellow","creamy",NA,NA,NA,NA,NA,NA
"575","La Rumeur","https://www.cheese.com/la-rumeur/","cow","Canada","Quebec","Brie","soft, soft-ripened",NA,NA,"buttery, creamy, runny, supple","bloomy","cream","creamy, mild","mild, milky",NA,NA,NA,NA,"La Maison Alexis de Portneuf Inc."
"576","La Sauvagine","https://www.cheese.com/la-sauvagine/","cow","Canada","Quebec",NA,"soft","32%",NA,"buttery, creamy, runny, supple","washed","ivory","buttery, creamy","mushroom",TRUE,FALSE,NA,NA,"La Maison Alexis de Portneuf Inc."
"577","La Sauvagine Réserve","https://www.cheese.com/la-sauvagine-reserve/","cow","Canada","Quebec",NA,"soft","38%",NA,"buttery, creamy, runny, supple","washed","ivory","buttery, creamy, mild, milky","mushroom",TRUE,FALSE,NA,NA,"La Maison Alexis de Portneuf Inc."
"578","La Serena","https://www.cheese.com/la-serena/","sheep","Spain","Extremadura",NA,"soft","50%",NA,"creamy, spreadable","washed","straw","bitter, full-flavored, sharp, strong","pleasant, strong",TRUE,FALSE,NA,"Torta La Serena, Queso de la Serena, Torta de la Serena",NA
"579","La Taupiniere","https://www.cheese.com/la-taupiniere/","goat","France","Poitou-Charentes",NA,"soft, artisan","45%",NA,"creamy, smooth","natural","white","sour, tangy","aromatic, nutty",FALSE,FALSE,"Taupinette","Taupiniere","Fromagerie Jousseaume"
"580","La Tur","https://www.cheese.com/la-tur/","cow, goat, sheep","Italy","Alba","Brie","soft, artisan, soft-ripened",NA,NA,"creamy, fluffy, soft-ripened","mold ripened","straw","acidic, buttery, creamy, grassy, mushroomy","earthy, lactic, yeasty",FALSE,FALSE,NA,NA,"Caseificio dell'Alta Langa"
"581","La Vache Qui Rit cheese","https://www.cheese.com/la-vache-qui-rit/","cow","France",NA,"Swiss Cheese","semi-soft, processed",NA,NA,"creamy, smooth, spreadable","rindless","pale yellow","buttery, mild","fresh",NA,NA,"Laughing Cow Cheese",NA,"BEL Group"
"582","Labneh","https://www.cheese.com/labneh/","cow","Middle East",NA,NA,"soft",NA,NA,"creamy","rindless","white","creamy, milky, sour","fresh, mild",NA,NA,"labaneh, chakka, lebnah, suzma","labne",NA
"583","Lacey Grey","https://www.cheese.com/lacey-grey/","goat","Canada","Prince Edward County, Ontario",NA,"soft, artisan, soft-ripened",NA,NA,"creamy, soft","bloomy","white","acidic, bitter, nutty","clean, herbal",NA,NA,NA,NA,"Fifth Town Artisan Cheese"
"584","LaClare Farms Chandoka","https://www.cheese.com/laclare-farms-chandoka/","cow, goat","United States",NA,"Cheddar","semi-firm, artisan",NA,NA,"creamy",NA,"ivory","fruity, tangy","fruity",TRUE,FALSE,NA,NA,"LaClare Farms"
"585","LaClare Farms Cheddar","https://www.cheese.com/laclare-farms-cheddar/","goat","United States","Wisconsin","Cheddar","semi-soft, artisan",NA,NA,"creamy",NA,"ivory","mild, sweet, tangy","fruity, sweet",TRUE,FALSE,NA,NA,"LaClare Farms"
"586","LaClare Farms Chevre","https://www.cheese.com/laclare-farms-chevre/","goat","United States","Wisconsin","Cottage","fresh soft",NA,NA,"creamy","rindless","white","mild, sweet","fresh",TRUE,FALSE,NA,NA,"LaClare Farms"
"587","LaClare Farms Evalon","https://www.cheese.com/laclare-farms-evalon/","goat","United States","Wisconsin","Gouda","semi-hard, artisan",NA,NA,"creamy","natural","ivory","mild","goaty",TRUE,FALSE,NA,NA,"LaClare Farms"
"588","LaClare Farms Evalon with Cummin","https://www.cheese.com/laclare-farms-evalon-cummin/","goat","United States","Wisconsin","Gouda","semi-hard, artisan",NA,NA,"creamy","natural","ivory","savory","goaty",TRUE,FALSE,"Cummin Evalon",NA,"LaClare Farms"
"589","LaClare Farms Evalon with Fenugreek","https://www.cheese.com/laclare-farms-evalon-fenugreek/","goat","United States","Wisconsin","Gouda","semi-hard, artisan",NA,NA,"creamy","natural","pale yellow","mild","goaty",TRUE,FALSE,"Fenugreek Evalon",NA,"LaClare Farms"
"590","LaClare Farms Fondry Jack","https://www.cheese.com/laclare-farms-fondry-jack/","goat","United States","Wisconsin","Monterey Jack","fresh soft, artisan",NA,NA,"creamy","natural","ivory","mild","fresh",NA,NA,NA,"Pepper Jack Fondy Jack, Tomato Basil Fondy Jack","LaClare Farms"
"591","LaClare Farms Martone","https://www.cheese.com/laclare-farms-martone/","goat","United States","Wisconsin","Cottage","semi-soft",NA,NA,"creamy","ash coated","white","sweet, tangy","buttery, fresh",TRUE,FALSE,NA,NA,"LaClare Farms"
"592","LaClare Farms Raw Goats Milk Cheddar","https://www.cheese.com/laclare-farms-raw-goats-milk-cheddar/","goat","United States","Wisconsin","Cheddar","semi-soft, artisan",NA,NA,"creamy",NA,"ivory","mild, sweet, tangy","fruity, sweet",TRUE,FALSE,NA,NA,"LaClare Farms"
"593","LaClare Ziege Zacke Blue","https://www.cheese.com/laclare-ziege-zacke-blue/","cow, goat","United States","Wisconsin","Blue","semi-hard, blue-veined",NA,NA,"creamy, firm","natural","cream","creamy, spicy, sweet, tangy","earthy, rich",FALSE,FALSE,"Ziege Zacke Blue",NA,"LaClare Farms"
"594","Lacy Swiss","https://www.cheese.com/lacy-swiss/","cow","United States",NA,"Swiss Cheese","semi-firm, processed",NA,NA,"creamy, open, supple",NA,"ivory","mild, nutty","mild",NA,NA,NA,"Lacey Swiss",NA
"595","Lady Jane","https://www.cheese.com/lady-jane/","cow","Canada","British Columbia","Brie","semi-soft, artisan, soft-ripened",NA,NA,"creamy, dense, soft-ripened","mold ripened","pale yellow","tangy","earthy, mushroom",FALSE,FALSE,NA,NA,"The Farm House Natural Cheeses"
"596","Laganory","https://www.cheese.com/laganory/","cow","Scotland",NA,NA,"firm",NA,NA,"brittle, compact, dry, grainy","natural","pale yellow","nutty, salty, subtle","earthy, grassy, raw nut, subtle",TRUE,FALSE,NA,NA,"The Ethical Dairy"
"597","Laguiole","https://www.cheese.com/laguiole/","cow","France","Aveyron, Laguiole",NA,"semi-hard, artisan",NA,NA,"creamy, firm, supple","natural","straw","sharp, sour, tangy","aromatic",FALSE,FALSE,NA,"Tome de Laguiole",NA
"598","Lairobell","https://www.cheese.com/lairobell/","goat","Scotland, United Kingdom","Orkney Isles",NA,"hard, artisan",NA,NA,"crumbly, open","natural","pale yellow","herbaceous, sweet","goaty",TRUE,FALSE,NA,NA,NA
"599","Lajta","https://www.cheese.com/lajta/","cow","Hungary",NA,NA,"soft","50%",NA,"creamy, open","washed","yellow","piquant","aromatic, stinky, strong",FALSE,FALSE,NA,NA,NA
"600","Lake District Extra Mature Cheddar","https://www.cheese.com/lake-district-extra-mature-cheddar/","cow","United Kingdom","Cumbrian","Cheddar","semi-soft, artisan",NA,NA,"creamy",NA,"pale yellow","sweet","rich",TRUE,FALSE,NA,NA,"The Lake District Cheese Company"
"601","Lake District Mature Cheddar","https://www.cheese.com/lake-district-mature-cheddar/","cow","United Kingdom","Cumbrian","Cheddar","soft, artisan",NA,NA,"crumbly, dense",NA,"pale yellow","savory, sweet","fresh",TRUE,FALSE,NA,NA,"The Lake District Cheese Company"
"602","Lamb Chopper","https://www.cheese.com/lamb-chopper/","sheep","Netherlands, United States","California","Gouda","hard",NA,NA,"dense, firm, smooth","waxed","ivory","buttery, caramel, creamy, nutty, sweet","mild, sweet",TRUE,FALSE,NA,NA,"Cypress Grove Chevre"
"603","Lanark Blue","https://www.cheese.com/lanark-blue/","sheep","Scotland",NA,NA,"semi-soft, artisan, blue-veined",NA,NA,"brittle, grainy",NA,NA,NA,NA,TRUE,FALSE,NA,NA,"Errington Cheese Ltd."
"604","Lanark White","https://www.cheese.com/lanark-white/","sheep","Scotland",NA,NA,"hard",NA,NA,"buttery, crumbly, flaky","natural","pale white","grassy, milky, nutty, salty","grassy, milky, musty",TRUE,FALSE,NA,NA,"Errington Cheese Ltd."
"605","Lancashire Smoked","https://www.cheese.com/lancashire-smoked/","cow","England",NA,NA,"hard",NA,NA,"buttery, crumbly","natural","red","acidic, nutty, smokey , tangy, woody","buttery, fresh, grassy, smokey",FALSE,FALSE,NA,NA,"Mrs. Kirkham's"
"606","Landaff","https://www.cheese.com/landaff/","cow","United States","New Hampshire",NA,"semi-hard, artisan",NA,NA,"creamy, firm, open","natural","straw","mild, tangy","aromatic",NA,NA,NA,NA,"Jasper Hill Farm, Landaff Creamery, LLC"
"607","Langres","https://www.cheese.com/langres/","cow","France",NA,NA,"semi-soft",NA,NA,"crumbly, firm","washed","orange",NA,"strong",NA,NA,NA,NA,NA
"608","Lappi","https://www.cheese.com/lappi/","cow","Finland","Lapland","Swiss Cheese","semi-soft",NA,NA,"creamy, firm, open, smooth","rindless","yellow","mild, sweet",NA,FALSE,FALSE,NA,NA,NA
"609","Largo","https://www.cheese.com/largo/","cow","United States","California",NA,"soft, artisan",NA,NA,"creamy, smooth","bloomy","pale yellow","mushroomy, nutty, sweet","pleasant, sweet",NA,NA,NA,NA,"Andante Dairy"
"610","Laruns","https://www.cheese.com/laruns/","sheep","France","Laruns",NA,"soft, artisan",NA,NA,"brittle, firm, supple","natural","straw","acidic, mild, nutty, salty, sweet","mild",FALSE,FALSE,NA,NA,NA
"611","Latteria Navel","https://www.cheese.com/latteria-navel/","cow","Italy","Friuli-Venezia Giulia and the Veneto",NA,"hard, soft-ripened",NA,NA,"brittle","natural","straw","full-flavored","aromatic",NA,NA,NA,NA,NA
"612","Latteria San Biagio","https://www.cheese.com/latteria-san-biagio/","cow","Italy","Veneto",NA,"soft, artisan",NA,NA,"creamy","natural","white","acidic, sweet","subtle",FALSE,FALSE,NA,NA,"La Casearia Carpenedo S.r.l."
"613","Laura Chenel Taupiniere","https://www.cheese.com/laura-chenel-taupiniere/","goat","United States","Carneros, Sonoma, California",NA,"soft, artisan",NA,NA,"creamy, soft","ash coated","white","creamy, tart","aromatic, fresh",NA,NA,NA,NA,"Laura Chenel's Chevre"
"614","Laura Chenel Tome","https://www.cheese.com/laura-chenel-tome/","goat","United States","Sonoma, California","Cheddar","firm, artisan",NA,NA,"crumbly, dense, firm","cloth wrapped","ivory","caramel, savory","rich, sweet",TRUE,FALSE,NA,NA,"Laura Chenel's Chevre"
"615","Laura Chenel's Cabecou","https://www.cheese.com/laura-chenels-cabecou/","goat","United States","California",NA,"fresh firm",NA,NA,"creamy, dense, smooth","rindless","cream","creamy, mild, nutty","mild, nutty, rich",NA,NA,NA,NA,"Laura Chenel's Chevre"
"616","Lavistown","https://www.cheese.com/lavistown/","cow","Ireland","Stoneyford",NA,"semi-hard, artisan",NA,NA,"crumbly, dry, firm","natural","yellow","creamy, mild, milky, tangy, vegetal",NA,TRUE,FALSE,NA,NA,"Knockdrinna Farmhouse Cheese"
"617","Le Brebiou","https://www.cheese.com/le-brebiou/","sheep","France","Pyrénées-Atlantiques","Brie","semi-soft, artisan, soft-ripened","26%",NA,"creamy, firm, smooth","bloomy","white","mild, milky, sweet","musty",FALSE,FALSE,"Brebiou sheep cheese","Brebiou ligne et plaisir",NA
"618","Le Brin","https://www.cheese.com/le-brin/","cow","France","Rhone-Alps",NA,"semi-soft, artisan","40%",NA,"creamy, spreadable","washed","white","buttery, sweet","aromatic, nutty, yeasty",TRUE,FALSE,NA,NA,"Fromagerie GUILLOTEAU"
"619","Le Cendrillon","https://www.cheese.com/le-cendrillon/","goat","Canada","Quebec",NA,"soft","25%",NA,"creamy, smooth","ash coated","ivory","acidic, pronounced, sour","goaty",NA,NA,NA,NA,"La Maison Alexis de Portneuf Inc."
"620","Le Chevrot","https://www.cheese.com/le-chevrot/","goat","France","Loire Valley",NA,"soft","50%",NA,"creamy, dense, firm","mold ripened","cream","herbaceous, nutty, strong","goaty, strong",FALSE,FALSE,NA,NA,"SEVRE & BELLE"
"621","Le Conquerant Camembert","https://www.cheese.com/le-conquerant-camembert/","cow","France","Pays d’Auge, Normandy","Camembert","soft, artisan",NA,NA,"soft-ripened","waxed","white","fruity, yeasty","rich",FALSE,FALSE,NA,NA,NA
"622","Le Conquerant Demi Pont L'eveque","https://www.cheese.com/le-conquerant-demi-pont-leveque/","cow","Australia, France",NA,NA,"soft, artisan",NA,NA,"chalky, creamy, soft","washed",NA,"creamy, mild","pungent",NA,NA,NA,NA,"Fromagerie Graindorge, Will Studd Enterprizes Pty Ltd"
"623","Le Double Joie","https://www.cheese.com/le-double-joie/","cow, goat","Canada","Quebec","Brie","soft, soft-ripened","27%",NA,"buttery, creamy, runny","bloomy","cream","buttery, creamy","mushroom",NA,NA,NA,NA,"La Maison Alexis de Portneuf Inc."
"624","Le Duc Vacherin","https://www.cheese.com/le-duc-vacherin/","cow","France","Franche Comté",NA,"soft, soft-ripened",NA,NA,"smooth, soft","washed","ivory","buttery, creamy, lemony, mild","rich, woody",NA,NA,NA,NA,"Fromagerie Jean Perrin"
"625","Le Fium Orbo","https://www.cheese.com/le-fium-orbo/","goat, sheep","France",NA,NA,"soft","50%",NA,"soft-ripened","natural",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"626","Le Gruyère AOP","https://www.cheese.com/le-gruyere-aop/","cow","Switzerland",NA,NA,"hard","49-53%",NA,"compact",NA,NA,"sweet","earthy",FALSE,FALSE,NA,NA,NA
"627","Le Lacandou","https://www.cheese.com/le-lacandou/","sheep","France","Aveyron",NA,"soft, artisan","45%",NA,"creamy","natural","pale yellow","fruity","grassy",FALSE,FALSE,NA,NA,NA
"628","Le Marquis Chevre","https://www.cheese.com/le-marquis-chevre/","goat","France","Rhone Valley","Cheddar","soft, artisan",NA,NA,"soft","natural","ivory","lemony, tangy","mild",NA,NA,NA,NA,"Cheese Slices"
"629","Le Maréchal","https://www.cheese.com/le-marechal/","cow","Switzerland",NA,NA,"hard",NA,NA,"firm, smooth","natural","yellow","buttery, creamy, floral, herbaceous","buttery, floral, grassy, herbal",FALSE,FALSE,"Marechal",NA,"Jean-Michel Rapin"
"630","Le Moutier","https://www.cheese.com/le-moutier/","goat","Canada","Québec",NA,"fresh firm",NA,NA,"firm","natural","white","sweet",NA,NA,NA,NA,NA,"Fromagerie de l'Abbaye Saint-Benoît"
"631","Le Reflet de Portneuf","https://www.cheese.com/le-reflet-de-portneuf/","","Canada","Quebec",NA,"soft","30%",NA,"buttery, creamy","washed","cream","buttery, creamy, mushroomy",NA,NA,NA,NA,NA,"La Maison Alexis de Portneuf Inc."
"632","Le St-Raymond","https://www.cheese.com/le-st-raymond/","","Canada","Quebec",NA,"soft","20%",NA,"smooth, supple","washed","ivory","fruity, nutty, woody",NA,NA,NA,NA,"Le Saint-Raymond","La Maison Alexis de Portneuf Inc."
"633","Le Wavreumont","https://www.cheese.com/le-wavreumont/","cow","Belgium","Wallonia",NA,"semi-soft, artisan",NA,NA,"buttery, creamy, semi firm, smooth, soft","washed","pale yellow","buttery, creamy, nutty, smooth, strong","buttery, fresh, grassy",NA,NA,NA,NA,"Fromagerie des Ardennes sprl"
"634","Leafield","https://www.cheese.com/leafield/","sheep","Great Britain","Oxfordshire","Brie","hard, artisan","48%",NA,"chewy","natural","pale yellow","fruity","fruity",TRUE,FALSE,NA,NA,NA
"635","Lebbene","https://www.cheese.com/lebbene/","goat, sheep","Israel",NA,NA,"soft","45%",NA,"","natural","white","mild","mild",NA,NA,"Gibne","Lebney, Labaneh",NA
"636","Leerdammer","https://www.cheese.com/leerdammer/","cow","Netherlands","Schoonrewoerd, Leerdam","Gouda","semi-hard",NA,NA,"creamy, open, smooth","natural","white","mild, nutty, sweet",NA,TRUE,FALSE,NA,NA,NA
"637","Legacy","https://www.cheese.com/legacy/","cow","United States","Missouri","Gouda","semi-hard, artisan",NA,NA,"creamy","rindless","pale yellow","creamy","aromatic",TRUE,FALSE,NA,NA,"Heartland Creamery"
"638","Legato","https://www.cheese.com/legato/","cow","United States","California","Camembert","soft, soft-ripened",NA,NA,"creamy, soft-ripened","mold ripened","pale yellow","full-flavored","strong",TRUE,FALSE,NA,NA,"Andante Dairy"
"639","Lemon Fetish","https://www.cheese.com/lemon-fetish/","sheep","Canada","Prince Edward County, Ontario","Feta","fresh firm, artisan",NA,NA,"crumbly, dry","natural","white","citrusy, lemony, salty, tangy","clean, lactic",NA,NA,NA,NA,"Fifth Town Artisan Cheese"
"640","Lemon Myrtle Chevre","https://www.cheese.com/lemon-myrtle-chevre/","goat","Australia","South Australia",NA,"fresh firm, artisan","45%",NA,"creamy, firm, smooth","rindless","white","acidic, herbaceous","fresh, herbal",TRUE,FALSE,NA,NA,"Woodside Cheese Wrights"
"641","Leonora®","https://www.cheese.com/leonora/","goat","Spain","Castilla Leon",NA,"semi-soft, artisan",NA,NA,"soft-ripened","bloomy","white","lemony, mushroomy","lactic",FALSE,FALSE,NA,NA,NA
"642","Les Calendos","https://www.cheese.com/les-calendos/","cow","Canada","Quebec","Camembert","soft, soft-ripened",NA,NA,"creamy, smooth, supple","bloomy","cream","creamy, full-flavored",NA,NA,NA,NA,NA,"La Maison Alexis de Portneuf Inc."
"643","Leyden","https://www.cheese.com/leyden/","cow","Netherlands","Leiden","Gouda","semi-hard, artisan","30-40%",NA,"firm",NA,"yellow","spicy, tangy","aromatic",FALSE,FALSE,"Leidse Kaas, Cumin cheese, Boeren-Leidse, Boeren-Leidse kaas, Farmers Leiden",NA,NA
"644","Liburnski Sir","https://www.cheese.com/liburnski-sir/","cow, goat, sheep","Croatia","old Liburnia (Dalmatia)",NA,"hard, artisan",NA,NA,"creamy, open","natural","golden yellow","creamy, earthy, nutty, tart","buttery, clean, goaty, mild",TRUE,FALSE,NA,NA,"SIRANA GLIGORA D.O.O"
"645","Lil Moo","https://www.cheese.com/lil-moo/","cow","United States","Georgia",NA,"soft",NA,NA,"creamy, dense, spreadable","rindless","pale yellow","creamy, smooth, sweet","fresh, grassy",NA,NA,NA,NA,"Sweet Grass Dairy"
"646","Liliputas","https://www.cheese.com/liliputas/","cow","Lithuania","Belvederis",NA,"semi-hard","50%",NA,"elastic, firm","waxed","yellow","milky","fresh, lactic",NA,NA,NA,NA,NA
"647","Limburger","https://www.cheese.com/limburger/","cow","Belgium, Germany, Netherlands","Duchy of Limburg",NA,"semi-soft, smear-ripened","42%","497 mg/100g","crumbly, firm, smooth","washed","straw","grassy, mild, mushroomy","stinky",FALSE,FALSE,NA,"Limburger Kase",NA
"648","Lincoln Log","https://www.cheese.com/lincoln-log/","goat","United States","Ann Arbor, MI",NA,"semi-soft, soft-ripened",NA,NA,"creamy, dense","mold ripened","white","citrusy, lemony, mild, mushroomy, tangy","goaty, milky",FALSE,FALSE,NA,NA,"Zingerman's Creamery"
"649","Lincolnshire Poacher","https://www.cheese.com/lincolnshire-poacher/","cow","England",NA,"Cheddar","hard",NA,NA,"creamy",NA,"yellow","nutty, sweet","earthy",NA,NA,NA,NA,"F.W.Read & Sons Ltd"
"650","Lindale","https://www.cheese.com/lindale/","cow","United States","North Carolina","Gouda","semi-soft, artisan",NA,NA,"creamy, smooth","natural","pale yellow","buttery, sweet","rich",FALSE,FALSE,NA,NA,"Goat Lady Dairy"
"651","Lindy Hop","https://www.cheese.com/lindy-hop/","cow","United States","Vermont","Blue","semi-soft, blue-veined",NA,NA,"creamy","natural","straw","creamy, grassy, mild","rich, strong",FALSE,FALSE,NA,NA,"Dancing Cow Farm"
"652","Lingot des Causses","https://www.cheese.com/lingot-des-causses/","goat","France",NA,NA,"soft",NA,NA,"creamy, firm",NA,NA,NA,"buttery, clean, fresh",NA,NA,NA,NA,NA
"653","Lingot Saint Bousquet d'Orb","https://www.cheese.com/lingot-saint-bousquet-dorb/","goat","France","Herault","Brie","soft, artisan",NA,NA,"smooth","natural","white","sweet","herbal",FALSE,FALSE,NA,NA,NA
"654","Liptauer","https://www.cheese.com/liptauer/","cow","United States","Ann Arbor, Michigan",NA,"fresh soft, artisan",NA,NA,"","rindless","brown","garlicky, savory, spicy, sweet","garlicky, spicy",TRUE,FALSE,NA,NA,"Zingerman's Creamery"
"655","Little Bloom on the Prairie","https://www.cheese.com/little-bloom-prairie/","goat","United States","Illinois","Camembert","soft, soft-ripened",NA,NA,"creamy, dense, smooth, soft-ripened","mold ripened","white","citrusy, creamy, mushroomy, tangy","fresh, lactic",FALSE,FALSE,NA,NA,"Prairie Fruits Farm"
"656","Little Colonel","https://www.cheese.com/little-colonel/","cow","England, Great Britain, United Kingdom","Dorset",NA,"semi-soft, artisan",NA,NA,"smooth, supple","washed","pale yellow","spicy","pungent",TRUE,FALSE,NA,NA,"James’s Cheese"
"657","Little Dragon","https://www.cheese.com/little-dragon/","goat","United States","Ann Arbor, Michigan",NA,"soft",NA,NA,"creamy",NA,"white","citrusy, creamy, mellow, sweet","fresh, herbal",FALSE,FALSE,NA,NA,"Zingerman's Creamery"
"658","Little Napoleon","https://www.cheese.com/little-napoleon/","goat","United States","Ann Arbor, Michigan",NA,"hard, artisan",NA,NA,"firm","mold ripened","pale yellow","acidic, savory","goaty, pungent",FALSE,FALSE,NA,NA,"Zingerman's Creamery"
"659","Little Qualicum Raclette","https://www.cheese.com/little-qualicum-raclette/","cow","Canada","British Columbia","Raclette","semi-soft, artisan",NA,NA,"firm, supple","washed","ivory","meaty, strong","pungent, stinky",NA,NA,NA,NA,"Little Qualicum Cheeseworks"
"660","Little Rydings","https://www.cheese.com/little-rydings/","sheep","England","North Wootton",NA,"soft, artisan","48%",NA,"creamy, smooth, springy","mold ripened","white","mild, sweet","rich, sweet",TRUE,FALSE,NA,NA,"Wootton Organic Dairy"
"661","Little Ypsi","https://www.cheese.com/little-ypsi/","goat","United States","Ann Arbor, Michigan",NA,"semi-soft, artisan",NA,NA,"buttery, firm","natural","ivory","buttery","buttery",FALSE,FALSE,NA,NA,"Zingerman's Creamery"
"662","Livarot","https://www.cheese.com/livarot/","cow","France",NA,NA,"soft, artisan",NA,NA,"creamy","washed",NA,"full-flavored","pungent, strong",FALSE,FALSE,NA,NA,NA
"663","Llanboidy","https://www.cheese.com/llanboidy/","cow","Wales","Carmarthenshire","Cheddar","hard, artisan",NA,NA,"firm, smooth","natural","white","buttery, spicy","grassy, sweet",FALSE,FALSE,NA,NA,"Llanboidy"
"664","Llanglofan Farmhouse","https://www.cheese.com/llanglofan-farmhouse/","cow","Great Britain, United Kingdom, Wales","Pembrokeshire",NA,"hard, artisan","45%",NA,"crumbly, firm, smooth","natural","yellow","citrusy, savory, smokey , spicy","lactic, smokey",TRUE,FALSE,NA,"Llangloffan White Farmhouse Cheese, Llangloffan Red Farmhouse Cheese, Llangloffan Smoked Farmhouse Cheese, Llangloffan Garlic & Chive Farmhouse Cheese","CARMARTHENSHIRE CHEESE COMPANY"
"665","Lo Sburrato","https://www.cheese.com/lo-sburrato/","sheep","Italy","Tuscany","Pecorino","semi-soft, artisan",NA,NA,"compact, creamy","natural","straw","creamy, smooth, sweet","aromatic",NA,NA,NA,NA,"Caseificio Pinzani Srl"
"666","Lo Speziato","https://www.cheese.com/lo-speziato/","cow","Italy","Treviso, Veneto",NA,"soft, artisan",NA,NA,"compact","natural","ivory","full-flavored, spicy","fresh",NA,NA,NA,NA,"Moro Latteria di Moro Sergio"
"667","Loch Arthur Farmhouse","https://www.cheese.com/loch-arthur-farmhouse/","cow","Scotland","Dumfries","Cheddar","hard","48%",NA,"firm",NA,NA,"nutty",NA,TRUE,FALSE,NA,NA,"Loch Arthur Creamery"
"668","Loddiswell Avondale","https://www.cheese.com/loddiswell-avondale/","goat","England","Devon",NA,"semi-soft",NA,NA,"","washed","orange","sweet","goaty",FALSE,FALSE,NA,NA,"Jocelyn and Bill Martin"
"669","Loma Alta","https://www.cheese.com/loma-alta/","cow","United States","California","Camembert","semi-soft, soft-ripened",NA,NA,"firm","mold ripened","white","buttery, nutty","rich",FALSE,FALSE,"Blue Mountain",NA,"Nicasio Valley Cheese Company"
"670","Longhorn","https://www.cheese.com/longhorn/","cow","United States","Colby, Wisconsin","Cheddar","semi-hard",NA,NA,"firm, open, springy","rindless","orange","mild, sweet",NA,FALSE,FALSE,NA,"Colby Longhorn, Longhorn Cheddar, Colby Jack Longhorn, Pepper Jack Longhorn, Low Sodium Colby Longhorn","Williams Cheese Company"
"671","Lord of the Hundreds","https://www.cheese.com/lord-hundreds/","sheep","United Kingdom","East Sussex",NA,"semi-hard, artisan",NA,NA,"firm, grainy, open","natural","golden yellow","burnt caramel, nutty, savory, sweet","grassy, sweet",TRUE,FALSE,NA,NA,"Traditional Cheese Dairy"
"672","Lost Lake","https://www.cheese.com/lost-lake/","sheep","Canada","Prince Edward County, Ontario",NA,"fresh firm, artisan, soft-ripened",NA,NA,"creamy, semi firm, soft","mold ripened","white","creamy, mushroomy","rich, yeasty",NA,NA,NA,NA,"Fifth Town Artisan Cheese"
"673","Lou Bergier Pichin","https://www.cheese.com/lou-bergier/","cow","Italy","Piemonte",NA,"semi-soft, artisan",NA,NA,"buttery, open, smooth","natural","brown","creamy, floral, mushroomy","grassy, milky",TRUE,FALSE,"Lou Bergier Pichin",NA,NA
"674","Lou Palou","https://www.cheese.com/lou-palou/","cow","France","Pyrénées",NA,"semi-soft",NA,NA,"elastic, smooth",NA,NA,NA,"pleasant",FALSE,FALSE,NA,NA,NA
"675","Lou Pevre","https://www.cheese.com/lou-pevre/","goat","France","Provence",NA,"soft, processed",NA,NA,"smooth","natural","white","acidic","goaty",FALSE,FALSE,NA,NA,NA
"676","Lunetta","https://www.cheese.com/lunetta/","cow","Canada, Italy","Lombardy",NA,"fresh soft, artisan",NA,NA,"creamy","natural","white","creamy, salty","aromatic, fresh",NA,NA,NA,NA,"Fifth Town Artisan Cheese"
